Name,Faction,Group,Initiative,Movement,Text,Persistence,CardImg,BackgroundLayer,ForegroundImg,Flavor,PrintID,Artist
Relentless Assault,,Bruiser,7,-2,All other actions this frame takes this turn resolve twice at -2mv\\\fullcommitted,0,Bruiser_1.png,proxy_background.png,,You like that? How about this time?,1,GoodBoy
Intimidate,,Bruiser,8,0,All enemies within 5 must consume one block\\\fullcommitted,0,Bruiser_1.png,proxy_background.png,,You can feel his presence in your bones,1,GoodBoy
Net Strength,,Bruiser,5,-2,All attacks you make this turn and next gain guard break,1,Bruiser_1.png,proxy_background.png,,Draws from the net,1,GoodBoy
Lockdown,,Bruiser,5,-1,Target frame within 3 gets 3 \fullslowed\\\fullcommitted,0,Bruiser_1.png,proxy_background.png,,"Summons matter all around the enemy, literally locking them in concrete",1,GoodBoy
Ephemeral Images,,Mystic,1,-1,"Replace this frame with 3 tokens, one of which is secretly marked to be this frame. All tokens move as this frame and the fakes are removed if attacked.",\infty,Mystic_1.png,proxy_background.png,,,1,GoodBoy
Teleport,,Mystic,1,-4,Next turn: Reposition this frame anywhere on the map at initiative 4,1,Mystic_1.png,proxy_background.png,,,1,GoodBoy
Utter darkness,,Mystic,1,-4,Next turn: While any frame is within 5 of this frame it cannot be attacked,1,Mystic_1.png,proxy_background.png,,,1,GoodBoy
Encode the future,,Mystic,1,-3,Next turn: one allied frame \emph{(includes this)} chooses cards from their deck,1,Mystic_1.png,proxy_background.png,,,1,GoodBoy
Tactical broadcast,,Tactician,4,-1,Allied frames within 8 get 2 \fulllucid,0,Tactician.png,proxy_background.png,,,1,GoodBoy
Fog of war,,Tactician,3,0,Next turn: Allies within 5 cannot be targeted by ranged attacks,1,Tactician.png,proxy_background.png,,,1,GoodBoy
Set the trap,,Tactician,3,0,Move an allied frame within 5 2 space. All enemies within 3 of them get \fullrevealed,0,Tactician.png,proxy_background.png,,,1,GoodBoy
Outfox,,Tactician,4,-1,Targe frame within 7 gets 3 \fullrevealed and 2 \fulldazed,0,Tactician.png,proxy_background.png,,,1,GoodBoy
Hyper,,Wunderkid,3,-4,Next turn: play 1 extra action,1,Wunderkid_1.png,proxy_background.png,,,1,GoodBoy
Net Speed,,Wunderkid,5,0,This frame gets 2 \fullstimmed and 2 \fullboosted,0,Wunderkid_1.png,proxy_background.png,,,1,GoodBoy
Portal,,Wunderkid,3,3,Create a portal at the start and end of this move. Those tiles are connected.,0,Wunderkid_1.png,proxy_background.png,,,1,GoodBoy
Ace Reflexes,,Wunderkid,8,1,"Whenever this frame is attacked this turn, move 2 after the attack",0,Wunderkid_1.png,proxy_background.png,,,1,GoodBoy
Battlefield Repairs,,Engineer,4,-2,Repair 3 damage from an allied frame within 3,0,Engineer_1.png,proxy_background.png,,,1,GoodBoy
Barricade,,Engineer,4,-3,Put up to 3 barricade tokens on unoccupied locations within 3: those locations becomes impassible,0,Engineer_1.png,proxy_background.png,,,1,GoodBoy
Gravity Well,,Engineer,3,-2,Create a gravity well. Its an obstacle that adds an extra 1 movement penalty to any step away from it within 5,0,Engineer_1.png,proxy_background.png,,,1,GoodBoy
Precision Tuning,,Engineer,4,-3,This frame gets 4 \fullboosted,0,Engineer_1.png,proxy_background.png,,,1,GoodBoy
Combo strike,,Specialist,8,-2,"When resolving the next attack from this frame, reveal the top 4 cards of its deck and choose up to 1 attack from the same weapon: add it's attacks to the attack\\\fullcommitted",0,Specialist_1.png,proxy_background.png,,,1,GoodBoy
Snipers aim,,Specialist,7,-3,"Ranged attacks this turn can ignore obstacles, get + 4 range and deal 1 extra damage\\\fullcommitted",0,Specialist_1.png,proxy_background.png,,,1,GoodBoy
Master duelist,,Specialist,3,-2,For the next 3 turns: Enemies targeted by melee attacks get \revealed and you choose which card blocks,3,Specialist_1.png,proxy_background.png,,,1,GoodBoy
Practiced Technique,,Specialist,5,-1,\fulllucid \\ Next turn: attacks deal 1 extra damage for each other attack played from the same weapon,1,Specialist_1.png,proxy_background.png,,,1,GoodBoy
