Name,Faction,Group,Initiative,Movement,HighBlock,MidBlock,LowBlock,HighDType,MidDType,LowDType,HighAttack,HighRange,MidAttack,MidRange,LowAttack,LowRange,Text,Persistence,CardImg,BackgroundLayer,ForegroundImg,Flavor,PrintID,Artist
Thrust,,Spear,,,,,,pierce,pierce,pierce,0,0,1,0,0,0,,0,weapon_pictures/Spear_Thrust_t.png,backgrounds/Spear_bg.png,,,1,Stephen Lilico
Jab,,Spear,,,,,,pierce,pierce,pierce,1,0,0,0,0,0,\fullcommitted,0,weapon_pictures/Spear_Jab_t.png,backgrounds/Spear_bg.png,,,1,Stephen Lilico
Impale,,Spear,,,,,,pierce,pierce,pierce,1,0,2,0,0,0,,0,weapon_pictures/Spear_Impale_t.png,backgrounds/Spear_bg.png,,,1,Stephen Lilico
Sweep,,Spear,,,,,,pierce,pierce,impact,0,0,0,0,1,0,On Hit: target gets \fullslowed,0,weapon_pictures/Spear_Sweep_t.png,backgrounds/Spear_bg.png,,,1,Stephen Lilico
Lunge,,Sword,,,,,,cut,cut,cut,0,0,1,0,0,0,\fullcommitted,0,weapon_pictures/Sword_Lunge_t.png,backgrounds/Sword_bg.png,,,1,Stephen Lilico
Feint,,Sword,,,,,,cut,cut,cut,1,0,0,0,0,0,\fullfeint,0,weapon_pictures/Sword_Feint_t.png,backgrounds/Sword_bg.png,,,1,Stephen Lilico
Slice,,Sword,,,,,,cut,cut,cut,1,0,1,0,0,0,,0,weapon_pictures/Sword_Slice_t.png,backgrounds/Sword_bg.png,,,1,Stephen Lilico
Parry,,Sword,,,,,,cut,cut,cut,0,0,0,0,0,0,If blocks: deals mid \smallcut,0,weapon_pictures/Sword_Parry_t.png,backgrounds/Sword_bg.png,,,1,Stephen Lilico
Bash,,Shield,,,,,,impact,impact,impact,1,0,0,0,0,0,On Hit: target gets 2 \fulldazed,0,weapon_pictures/Shield_Bash_t.png,backgrounds/Shield_bg.png,,,1,Stephen Lilico
Full Guard,,Shield,,,,,,,,,0,0,0,0,0,0,,0,weapon_pictures/Shield_Full_Guard_t.png,backgrounds/Shield_bg.png,,,1,Stephen Lilico
Push on,,Shield,,,,,,,,,0,0,0,0,0,0,,0,weapon_pictures/Shield_Push_on_t.png,backgrounds/Shield_bg.png,,,1,Stephen Lilico
Lock down,,Shield,,,,,,impact,impact,impact,1,0,1,0,0,0,\fullfeint,0,weapon_pictures/Shield_Lock_down_t.png,backgrounds/Shield_bg.png,,,1,Stephen Lilico
Overcharge,,Stun Baton,,,,,,energy,energy,energy,1,0,1,0,1,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Baton_Overcharge_t.png,backgrounds/Stun_Baton_bg.png,,,1,Stephen Lilico
Shock,,Stun Baton,,,,,,energy,energy,energy,0,0,1,0,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Baton_Shock_t.png,backgrounds/Stun_Baton_bg.png,,,1,Stephen Lilico
Zap,,Stun Baton,,,,,,energy,energy,energy,2,0,0,0,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Baton_Zap_t.png,backgrounds/Stun_Baton_bg.png,,,1,Stephen Lilico
Strike,,Stun Baton,,,,,,energy,energy,energy,0,0,0,0,2,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Baton_Strike_t.png,backgrounds/Stun_Baton_bg.png,,,1,Stephen Lilico
Burst Fire,,Assault Rifle,,,,,,projectile,projectile,projectile,0,0,1,8,1,8,,0,weapon_pictures/Assault_Rifle_Burst_Fire_t.png,backgrounds/Assault_Rifle_bg.png,,,1,Stephen Lilico
Aimed Fire,,Assault Rifle,,,,,,projectile,projectile,projectile,1,8,0,0,0,0,,0,weapon_pictures/Assault_Rifle_Aimed_Fire_t.png,backgrounds/Assault_Rifle_bg.png,,,1,Stephen Lilico
From the hip,,Assault Rifle,,,,,,projectile,projectile,projectile,0,0,1,6,0,0,,0,weapon_pictures/Assault_Rifle_From_the_hip_t.png,backgrounds/Assault_Rifle_bg.png,,,1,Stephen Lilico
Covering Fire,,Assault Rifle,,,,,,projectile,projectile,projectile,1,6,1,6,1,6,\fullfeint,0,weapon_pictures/Assault_Rifle_Covering_Fire_t.png,backgrounds/Assault_Rifle_bg.png,,,1,Stephen Lilico
Rapid fire,,Stun Bow,,,,,,pierce,pierce,pierce,1,6,1,10,0,0,On Hit: target gets 2 \fullstunned \\ \guardbreak,0,weapon_pictures/Stun_Bow_Rapid_fire_t.png,backgrounds/Stun_Bow_bg.png,,,1,Stephen Lilico
Arc shot,,Stun Bow,,,,,,pierce,pierce,pierce,1,12,0,0,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Bow_Arc_shot_t.png,backgrounds/Stun_Bow_bg.png,,I'll wipe that smile off your face,1,Stephen Lilico
Straight shot,,Stun Bow,,,,,,pierce,pierce,pierce,0,0,1,12,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Bow_Straight_shot_t.png,backgrounds/Stun_Bow_bg.png,,,1,Stephen Lilico
Low blow,,Stun Bow,,,,,,pierce,pierce,pierce,0,0,0,0,1,12,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Bow_Low_blow_t.png,backgrounds/Stun_Bow_bg.png,,,1,Stephen Lilico
Fullbore,,Cannon,,,,,,projectile,projectile,projectile,0,0,3,12,0,0,,0,weapon_pictures/Cannon_Fullbore_t.png,backgrounds/Cannon_bg.png,,,1,Stephen Lilico
Airburst,,Cannon,,,,,,projectile,projectile,projectile,2,12,1,12,0,0,\guardbreak,0,weapon_pictures/Cannon_Airburst_t.png,backgrounds/Cannon_bg.png,,,1,Stephen Lilico
Cannon,,Cannon,,,,,,projectile,projectile,projectile,0,0,1,12,2,12,\guardbreak,0,weapon_pictures/Cannon_Cannon_t.png,backgrounds/Cannon_bg.png,,,1,Stephen Lilico
Pummel,,Cannon,,,,,,projectile,projectile,projectile,0,0,0,0,3,12,,0,weapon_pictures/Cannon_Pummel_t.png,backgrounds/Cannon_bg.png,,,1,Stephen Lilico
Crush,,Halberd,,,,,,impact,impact,impact,3,0,0,0,0,0,,0,weapon_pictures/Halberd_Crush_t.png,backgrounds/Halberd_bg.png,,,1,Stephen Lilico
Eviscerate,,Halberd,,,,,,cut,cut,cut,0,0,3,0,0,0,,0,weapon_pictures/Halberd_Eviscerate_t.png,backgrounds/Halberd_bg.png,,,1,Stephen Lilico
Thrust,,Halberd,,,,,,pierce,pierce,pierce,1,0,0,0,0,0,\fullcommitted,0,weapon_pictures/Halberd_Thrust_t.png,backgrounds/Halberd_bg.png,,,1,Stephen Lilico
Sweep,,Halberd,,,,,,cut,cut,cut,0,0,0,0,2,0,,0,weapon_pictures/Halberd_Sweep_t.png,backgrounds/Halberd_bg.png,,,1,Stephen Lilico
Disembowel,,Chainsaw,,,,,,cut,cut,cut,0,0,4,0,0,0,,0,weapon_pictures/Chainsaw_Disembowel_t.png,backgrounds/Chainsaw_bg.png,,,1,Stephen Lilico
Rip,,Chainsaw,,,,,,cut,cut,cut,4,0,0,0,0,0,,0,weapon_pictures/Chainsaw_Rip_t.png,backgrounds/Chainsaw_bg.png,,,1,Stephen Lilico
Grind,,Chainsaw,,,,,,cut,cut,cut,1,0,1,0,0,0,,0,weapon_pictures/Chainsaw_Grind_t.png,backgrounds/Chainsaw_bg.png,,,1,Stephen Lilico
Tear,,Chainsaw,,,,,,cut,cut,cut,0,0,0,0,4,0,,0,weapon_pictures/Chainsaw_Tear_t.png,backgrounds/Chainsaw_bg.png,,,1,Stephen Lilico
Whip,,Chain,,,,,,impact,impact,impact,0,0,1,3,0,0,,0,weapon_pictures/Chain_Whip_t.png,backgrounds/Chain_bg.png,,,1,Stephen Lilico
Tangle,,Chain,,,,,,impact,impact,impact,0,0,0,0,1,3,On Hit: target gets 2 \fullslowed,0,weapon_pictures/Chain_Tangle_t.png,backgrounds/Chain_bg.png,,,1,Stephen Lilico
Throttle,,Chain,,,,,,impact,impact,impact,1,0,0,0,0,0,On Hit: target gets 2 \fulldazed,0,weapon_pictures/Chain_Throttle_t.png,backgrounds/Chain_bg.png,,,1,Stephen Lilico
