Name,Faction,Group,Initiative,Movement,HighBlock,MidBlock,LowBlock,HighDType,MidDType,LowDType,HighAttack,HighRange,MidAttack,MidRange,LowAttack,LowRange,Text,Persistence,CardImg,BackgroundLayer,ForegroundImg,Flavor,PrintID,Artist
Thrust,,Spear,7,0,0,1,0,pierce,pierce,pierce,0,0,1,0,0,0,,0,weapon_pictures/Spear_Thrust_t.png,backgrounds/Spear_bg.png,,,1,Stephen Lilico
Jab,,Spear,8,0,1,0,0,pierce,pierce,pierce,1,0,1,0,0,0,\fullfeint,0,weapon_pictures/Spear_Jab_t.png,backgrounds/Spear_bg.png,,,1,Stephen Lilico
Impale,,Spear,5,-2,1,0,0,pierce,pierce,pierce,1,0,0,0,2,0,,0,weapon_pictures/Spear_Impale_t.png,backgrounds/Spear_bg.png,,,1,Stephen Lilico
Sweep,,Spear,7,0,0,0,1,pierce,pierce,impact,0,0,0,0,1,0,On Hit: target gets 2 \fullslowed ,0,weapon_pictures/Spear_Sweep_t.png,backgrounds/Spear_bg.png,,,1,Stephen Lilico
Lunge,,Sword,7,1,0,0,1,cut,cut,cut,0,0,1,0,0,0,\fullcommitted,0,weapon_pictures/Sword_Lunge_t.png,backgrounds/Sword_bg.png,,,1,Stephen Lilico
Feint,,Sword,7,1,0,1,0,cut,cut,cut,1,0,1,0,0,0,\fullfeint,0,weapon_pictures/Sword_Feint_t.png,backgrounds/Sword_bg.png,,,1,Stephen Lilico
Slice,,Sword,5,-2,1,0,1,cut,cut,cut,1,0,1,0,0,0,,0,weapon_pictures/Sword_Slice_t.png,backgrounds/Sword_bg.png,,,1,Stephen Lilico
Parry,,Sword,3,0,1,2,0,cut,cut,cut,0,0,0,0,0,0,On Block: deals mid \smallcut,0,weapon_pictures/Sword_Parry_t.png,backgrounds/Sword_bg.png,,,1,Stephen Lilico
Bash,,Shield,5,-1,0,2,0,impact,impact,impact,1,0,0,0,0,0,On Hit: target gets 2 \fulldazed,0,weapon_pictures/Shield_Bash_t.png,backgrounds/Shield_bg.png,,,1,Stephen Lilico
Full Guard,,Shield,4,-2,2,1,1,,,,0,0,0,0,0,0,,0,weapon_pictures/Shield_Full_Guard_t.png,backgrounds/Shield_bg.png,,,1,Stephen Lilico
Push on,,Shield,8,-1,0,1,2,,,,0,0,0,0,0,0,,0,weapon_pictures/Shield_Push_on_t.png,backgrounds/Shield_bg.png,,,1,Stephen Lilico
Lock down,,Shield,6,-1,2,1,0,impact,impact,impact,1,0,1,0,0,0,\fullfeint,0,weapon_pictures/Shield_Lock_down_t.png,backgrounds/Shield_bg.png,,,1,Stephen Lilico
Overcharge,,Stun Baton,3,-2,1,0,0,energy,energy,energy,1,0,1,0,1,0,\guardbreak \\ On Hit: target gets 2 \fullstunned \\ \fullreload,\infty,weapon_pictures/Stun_Baton_Overcharge_t.png,backgrounds/Stun_Baton_bg.png,,,1,Stephen Lilico
Shock,,Stun Baton,6,0,0,0,1,energy,energy,energy,0,0,1,0,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Baton_Shock_t.png,backgrounds/Stun_Baton_bg.png,,,1,Stephen Lilico
Zap,,Stun Baton,7,-1,0,0,1,energy,energy,energy,1,0,0,0,0,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Baton_Zap_t.png,backgrounds/Stun_Baton_bg.png,,,1,Stephen Lilico
Strike,,Stun Baton,5,-1,1,0,0,energy,energy,energy,0,0,0,0,1,0,On Hit: target gets 2 \fullstunned,0,weapon_pictures/Stun_Baton_Strike_t.png,backgrounds/Stun_Baton_bg.png,,,1,Stephen Lilico
Burst Fire,,Assault Rifle,4,-2,0,1,0,projectile,projectile,projectile,0,0,1,9,1,9,,0,weapon_pictures/Assault_Rifle_Burst_Fire_t.png,backgrounds/Assault_Rifle_bg.png,,,1,Stephen Lilico
Aimed Fire,,Assault Rifle,3,-2,0,1,0,projectile,projectile,projectile,2,9,0,0,0,0,,0,weapon_pictures/Assault_Rifle_Aimed_Fire_t.png,backgrounds/Assault_Rifle_bg.png,,,1,Stephen Lilico
From the hip,,Assault Rifle,5,-1,0,1,0,projectile,projectile,projectile,0,0,1,6,0,0,,0,weapon_pictures/Assault_Rifle_From_the_hip_t.png,backgrounds/Assault_Rifle_bg.png,,,1,Stephen Lilico
Covering Fire,,Assault Rifle,6,-2,0,1,0,projectile,projectile,projectile,1,6,1,6,1,6,\fullfeint,0,weapon_pictures/Assault_Rifle_Covering_Fire_t.png,backgrounds/Assault_Rifle_bg.png,,,1,Stephen Lilico
