card/Shield_Bash
card/Shield_Full Guard
card/Shield_Push on
card/Shield_Lock down
card/Greatsword_Cleave
card/Greatsword_Parry
card/Greatsword_Grand Sweep
card/Stun Baton_Overcharge
card/Stun Baton_Shock
card/Stun Baton_Zap
card/Stun Baton_Strike
card/Assault Rifle_Burst Fire
card/Assault Rifle_Aimed Fire
card/Assault Rifle_From the hip
card/Engineer_Gravity Well
card/Engineer_Battlefield Repairs
card/Engineer_Barricade
card/Engineer_Precision Tuning
card/Booster_Quick Step
card/Booster_Accelerate
